restart_count,cpu_usage_pct,memory_usage_pct,pod_ready,last_exit_code,waiting_reason,oom_killed_count,image_pull_errors,failed_scheduling_events,readiness_probe_failures,label
0,7.9,56.0,1,0,Running,0,0,0,1,healthy
0,11.1,74.4,1,0,Running,0,0,0,1,healthy
1,12.8,28.1,0,0,ContainerCreating,0,0,6,1,scheduling_failure
0,0.0,6.7,0,0,Unschedulable,0,0,7,0,scheduling_failure
0,7.1,55.2,1,0,Running,0,0,0,0,healthy
0,14.4,12.1,0,0,Pending,0,0,6,0,scheduling_failure
0,28.1,47.5,1,0,Unknown,0,0,0,0,healthy
0,24.0,35.8,1,0,Unknown,0,0,0,1,healthy
1,6.4,11.1,0,0,Pending,0,0,6,0,crash_loop
1,39.2,42.6,1,0,Running,0,0,0,0,healthy
9,70.8,89.2,0,0,Error,0,0,0,3,crash_loop
0,15.8,37.0,1,0,Unknown,0,0,0,0,healthy
7,73.2,55.9,0,1,Error,0,0,0,4,crash_loop
1,21.1,18.9,1,0,Running,0,0,0,0,healthy
4,59.0,100.0,0,90,OOMKilled,0,0,0,2,oom_killed
3,62.9,85.3,0,141,CrashLoopBackOff,3,0,0,2,oom_killed
7,86.4,72.0,0,0,CrashLoopBackOff,0,0,0,3,probe_failure
10,53.1,62.3,0,0,Running,0,0,0,3,crash_loop
5,74.2,66.9,0,0,CrashLoopBackOff,0,0,0,6,crash_loop
4,53.4,39.8,0,1,CrashLoopBackOff,0,0,0,0,crash_loop
7,57.7,82.8,0,2,Running,0,0,0,3,crash_loop
7,35.2,67.3,0,3,Error,0,0,0,4,crash_loop
3,40.0,100.0,0,138,OOMKilled,3,0,0,1,oom_killed
9,82.1,63.4,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
1,16.9,14.7,1,0,Running,0,0,0,1,healthy
0,6.2,12.5,0,0,ErrImagePull,0,6,0,1,image_pull_error
11,78.3,65.1,0,1,CrashLoopBackOff,0,0,0,3,probe_failure
1,20.9,33.1,1,0,Running,0,0,0,0,healthy
1,28.3,40.3,1,0,Running,0,0,0,0,healthy
3,58.9,69.3,0,140,CrashLoopBackOff,2,0,0,3,oom_killed
1,28.2,67.3,1,0,Unknown,0,0,0,0,healthy
9,82.1,66.3,0,1,CrashLoopBackOff,0,0,0,2,probe_failure
10,82.7,72.1,0,1,Error,0,0,0,5,probe_failure
1,33.1,53.6,0,0,Error,0,0,0,8,probe_failure
